,text,start,end
1060,way.,299.98,299.98
1061,For,300.0,300.54
1062,Maya,300.54,300.9
1063,"Shelby,",300.9,301.24
1064,how,301.64,301.72
1065,do,301.72,301.88
1066,zeros,301.88,302.26
1067,and,302.26,302.52
1068,ones,302.52,302.8
1069,turn,302.8,303.22
1070,into,303.22,303.7
1071,the,303.7,304.04
1072,internet?,304.04,304.22
1073,"Well,",304.42,304.82
1074,I,304.82,304.9
1075,think,304.9,305.18
1076,the,305.18,305.58
1077,simplest,305.58,305.92
1078,answer,305.92,306.36
1079,there,306.36,306.7
1080,is,306.7,306.82
1081,that,306.82,307.08
1082,the,307.08,307.28
1083,internet,307.28,307.46
1084,is,307.46,307.7
1085,built,307.7,307.9
1086,upon,307.9,308.26
1087,layers,308.26,308.6
1088,and,308.6,309.3
1089,layers,309.3,309.36
1090,and,309.36,309.36
1091,layers,309.36,309.7
1092,of,309.7,310.0
1093,ideas.,310.0,310.34
1094,And,310.42,310.58
1095,if,310.58,310.68
1096,we,310.68,310.82
1097,start,310.82,311.04
1098,at,311.04,311.24
1099,the,311.24,311.5
1100,lowest,311.5,311.8
1101,of,311.8,311.98
1102,those,311.98,312.24
1103,"levels,",312.24,312.54
1104,zeros,312.62,312.86
1105,and,312.86,313.02
1106,"ones,",313.02,313.18
1107,you,313.28,313.3
1108,have,313.3,313.48
1109,something,313.48,313.64
1110,called,313.64,313.96
1111,"binary,",313.96,314.42
1112,where,314.58,314.84
1113,zeros,314.84,315.22
1114,and,315.22,315.4
1115,ones,315.4,315.62
1116,can,315.62,315.84
1117,be,315.84,315.92
1118,used,315.92,316.14
1119,to,316.14,316.3
1120,represent,316.3,316.56
1121,any,316.56,317.06
1122,other,317.06,317.26
1123,numbers,317.26,317.56
1124,as,317.56,317.86
1125,well.,317.86,318.1
1126,And,318.26,318.46
1127,if,318.46,318.52
1128,we,318.52,318.6
1129,use,318.6,318.84
1130,more,318.84,319.26
1131,and,319.26,319.4
1132,more,319.4,319.7
1133,zeros,319.7,319.98
1134,and,319.98,320.14
1135,"ones,",320.14,320.36
1136,more,320.44,320.64
1137,and,320.64,320.7
1138,more,320.7,321.08
1139,binary,321.08,321.6
1140,digits,321.6,321.98
1141,or,321.98,322.38
1142,"bits,",322.38,322.6
1143,so,322.66,322.72
1144,to,322.72,322.86
1145,"speak,",322.86,323.04
1146,we,323.08,323.16
1147,can,323.16,323.36
1148,count,323.36,323.5
1149,up,323.5,323.78
1150,higher,323.78,324.06
1151,and,324.06,324.32
1152,higher,324.32,324.56
1153,and,324.56,324.78
1154,higher.,324.78,324.92
1155,And,325.04,325.36
1156,then,325.36,325.56
1157,if,325.56,325.7
1158,you,325.7,325.84
1159,and,325.84,325.94
1160,I,325.94,326.12
1161,agree,326.12,326.36
1162,"that,",326.36,326.66
1163,"alright,",326.66,327.02
1164,well,327.02,327.2
1165,let's,327.2,327.38
1166,not,327.38,327.58
1167,just,327.58,327.72
1168,use,327.72,327.84
1169,these,327.84,328.16
1170,patterns,328.16,328.44
1171,of,328.44,328.76
1172,zeros,328.76,328.94
1173,and,328.94,329.1
1174,ones,329.1,329.38
1175,to,329.38,329.64
1176,represent,329.64,330.1
1177,numbers.,330.1,330.7
1178,What,330.86,331.0
1179,if,331.0,331.12
1180,we,331.12,331.52
1181,reserve,331.52,331.7
1182,some,331.7,332.06
1183,of,332.06,332.1
1184,these,332.1,332.38
1185,patterns,332.38,332.62
1186,to,332.62,332.94
1187,represent,332.94,333.24
1188,letters,333.24,333.84000000000003
1189,of,333.84000000000003,334.04
1190,the,334.04,334.3
1191,English,334.3,334.6
1192,alphabet?,334.6,334.98
1193,And,335.28,335.42
1194,then,335.42,335.56
1195,maybe,335.56,335.72
1196,you,335.72,335.86
1197,and,335.86,335.92
1198,I,335.92,336.04
1199,can,336.04,336.22
1200,decide,336.22,336.54
1201,to,336.54,336.76
1202,reserve,336.76,337.06
1203,certain,337.06,337.46
1204,patterns,337.46,337.82
1205,of,337.82,338.1
1206,zeros,338.1,338.3
1207,and,338.3,338.52
1208,ones,338.52,338.78
1209,to,338.78,339.06
1210,represent,339.06,339.36
1211,colors,339.36,339.74
1212,like,339.74,340.04
1213,red,340.04,340.38
1214,and,340.38,340.74
1215,green,340.74,341.08
1216,and,341.08,341.38
1217,blue,341.38,341.62
1218,and,341.62,341.84000000000003
1219,combinations,341.84000000000003,342.34000000000003
1220,thereof.,342.34000000000003,342.78
1221,Well,343.0,343.1
1222,once,343.1,343.24
1223,we,343.24,343.36
1224,have,343.36,343.5
1225,the,343.5,343.6
1226,ability,343.6,343.88
1227,to,343.88,344.15999999999997
1228,represent,344.15999999999997,344.62
1229,"colors,",344.62,345.1
1230,we,345.26,345.42
1231,could,345.42,345.72
1232,then,345.72,345.98
1233,represent,345.98,346.46
1234,whole,346.46,346.86
1235,"pictures,",346.86,347.2
1236,because,347.28,347.54
1237,what's,347.54,347.82
1238,a,347.82,347.92
1239,picture,347.92,348.18
1240,on,348.18,348.36
1241,your,348.36,348.56
1242,phone,348.56,348.82
1243,or,348.82,349.1
1244,a,349.1,349.26
1245,computer,349.26,349.46
1246,screen?,349.46,349.86
1247,Well,350.04,350.04
1248,it's,350.04,350.12
1249,really,350.12,350.32
1250,just,350.32,350.64
1251,a,350.64,350.9
1252,grid,350.9,351.24
1253,of,351.24,351.76
1254,"dots,",351.76,352.14
1255,each,352.3,352.42
1256,of,352.42,352.48
1257,which,352.48,352.64
1258,has,352.64,352.82
1259,its,352.82,353.0
1260,own,353.0,353.24
1261,color.,353.24,353.52
1262,So,353.76,353.98
1263,this,353.98,354.12
1264,is,354.12,354.3
1265,all,354.3,354.42
1266,to,354.42,354.62
1267,say,354.62,354.76
1268,that,354.76,354.92
1269,even,354.92,355.08
1270,if,355.08,355.18
1271,we,355.18,355.32
1272,started,355.32,355.56
1273,this,355.56,355.94
1274,lowest,355.94,356.28
1275,level,356.28,356.58
1276,of,356.58,356.76
1277,just,356.76,357.04
1278,zeros,357.04,357.24
1279,and,357.24,357.44
1280,"ones,",357.44,357.88
1281,so,357.88,358.14
1282,long,358.14,358.3
1283,as,358.3,358.54
1284,you,358.54,358.96
1285,and,358.96,359.26
1286,I,359.26,359.56
1287,and,359.56,359.65999999999997
1288,all,359.65999999999997,359.8
1289,of,359.8,359.94
1290,the,359.94,360.08
1291,devices,360.08,360.4
1292,we,360.4,360.65999999999997
1293,use,360.65999999999997,360.92
1294,agree,360.92,361.24
1295,to,361.24,361.52
1296,follow,361.52,361.7
1297,some,361.7,362.12
1298,standard,362.12,362.42
1299,like,362.42,362.7
1300,"this,",362.7,363.04
1301,we,363.22,363.22
1302,can,363.22,363.38
1303,build,363.38,363.54
1304,these,363.54,363.88
1305,layers,363.88,364.24
1306,and,364.24,364.5
1307,layers,364.5,364.8
1308,of,364.8,365.34000000000003
1309,"abstraction,",365.34000000000003,365.86
1310,so,366.06,366.14
1311,to,366.14,366.26
1312,"speak,",366.26,366.44
1313,on,366.6,366.6
1314,top,366.6,366.84000000000003
1315,of,366.84000000000003,367.0
1316,one,367.0,367.18
1317,another.,367.18,367.58
1318,Until,368.08,368.15999999999997
1319,finally,368.15999999999997,368.56
1320,you,368.56,368.74
1321,and,368.74,368.82
1322,I,368.82,368.94
1323,come,368.94,369.14
1324,up,369.14,369.28
1325,with,369.28,369.44
1326,a,369.44,369.65999999999997
1327,pattern,369.65999999999997,369.82
1328,of,369.82,370.04
1329,zeros,370.04,370.3
1330,and,370.3,370.5
1331,ones,370.5,370.74
1332,that,370.74,371.18
1333,represent,371.18,371.62
1334,send,371.62,372.12
1335,this,372.12,372.34000000000003
1336,piece,372.34000000000003,372.52
1337,of,372.52,372.74
1338,information,372.74,373.12
1339,from,373.12,373.65999999999997
1340,me,373.65999999999997,374.02
1341,over,374.02,374.32
1342,there.,374.32,374.82
1343,And,374.84000000000003,375.04
1344,thus,375.04,375.44
1345,we,375.44,375.56
1346,have,375.56,375.84000000000003
1347,something,375.84000000000003,376.12
1348,like,376.12,376.62
1349,the,376.62,376.98
1350,internet.,376.98,377.4
1351,Majin,377.86,378.06
1352,Bu,378.06,378.24
1353,"asks,",378.24,378.64
1354,can,379.04,379.04
1355,someone,379.04,379.24
1356,that,379.24,379.42
1357,knows,379.42,379.62
1358,computer,379.62,379.94
1359,science,379.94,380.32
1360,explain,380.32,380.65999999999997
1361,to,380.65999999999997,380.84000000000003
1362,me,380.84000000000003,381.0
1363,why,381.0,381.22
1364,computers,381.22,381.54
1365,use,381.54,381.96
1366,binary,381.96,382.34000000000003
1367,coding,382.34000000000003,382.78
1368,and,382.78,383.08
1369,not,383.08,383.36
1370,"trynary,",383.36,383.82
1371,when,383.92,384.1
1372,trynary,384.1,384.5
1373,is,384.5,384.72
1374,supposed,384.72,385.02
1375,to,385.02,385.2
1376,be,385.2,385.42
1377,faster.,385.42,385.64
1378,So,385.64,385.84000000000003
1379,what's,385.84000000000003,386.0
1380,not,386.0,386.12
1381,necessarily,386.12,386.74
1382,the,386.74,386.96
1383,case,386.96,387.15999999999997
1384,that,387.15999999999997,387.36
1385,a,387.36,387.68
1386,trynary,387.68,388.1
1387,"system,",388.1,388.48
1388,which,388.65999999999997,388.65999999999997
1389,would,388.65999999999997,388.82
1390,use,388.82,389.24
1391,three,389.24,389.68
1392,"symbols,",389.68,390.02
1393,for,390.1,390.18
1394,"instance,",390.18,390.52
1395,"zero,",390.74,390.96
1396,"one,",391.02,391.3
1397,and,391.46,391.48
1398,"two,",391.48,391.78
1399,would,391.94,392.02
1400,necessarily,392.02,392.78
1401,be,392.78,393.26
1402,faster,393.26,393.56
1403,than,393.56,393.88
1404,"binary,",393.88,394.28
1405,because,394.54,394.82
1406,binary,394.82,395.26
1407,using,395.26,395.54
1408,just,395.54,395.8
1409,zero,395.8,396.06
1410,and,396.06,396.2
1411,one,396.2,396.42
1412,tends,396.42,396.7
1413,to,396.7,396.8
1414,be,396.8,397.08
1415,simpler,397.08,397.36
1416,to,397.36,397.8
1417,implement,397.8,398.15999999999997
1418,and,398.15999999999997,398.48
1419,also,398.48,398.9
1420,more,398.9,399.18
1421,robust,399.18,399.6
1422,to,399.6,399.94
1423,potential,399.94,400.3
1424,errors.,400.3,400.62
1425,Or,400.65999999999997,400.82
1426,if,400.82,400.94
1427,you're,400.94,401.2
1428,familiar,401.2,401.38
1429,with,401.38,401.86
1430,voltage,401.86,402.12
1431,"levels,",402.12,402.46
1432,like,402.5,402.7
1433,in,402.7,402.8
1434,a,402.8,402.94
1435,"battery,",402.94,403.15999999999997
1436,it's,403.3,403.56
1437,very,403.56,403.9
1438,easy,403.9,404.15999999999997
1439,for,404.15999999999997,404.36
1440,a,404.36,404.44
1441,computer,404.44,404.65999999999997
1442,to,404.65999999999997,404.98
1443,distinguish,404.98,405.28
1444,something,405.28,405.68
1445,for,405.68,405.9
1446,like,405.9,406.22
1447,zero,406.22,406.54
1448,votes,406.54,406.88
1449,or,406.88,407.4
1450,three,407.4,407.8
1451,volts.,407.8,408.1
1452,But,408.18,408.3
1453,it,408.3,408.4
1454,gets,408.4,408.54
1455,a,408.54,408.7
1456,little,408.7,409.02
1457,harder,409.02,409.34000000000003
1458,if,409.34000000000003,409.58
1459,we,409.58,409.76
1460,try,409.76,409.9
1461,to,409.9,410.02
1462,draw,410.02,410.2
1463,the,410.2,410.38
1464,line,410.38,410.6
1465,somewhere,410.6,411.12
1466,in,411.12,411.42
1467,"between,",411.42,411.78
1468,because,411.78,412.08
1469,there's,412.08,412.3
1470,just,412.3,412.56
1471,a,412.56,412.68
1472,higher,412.68,412.9
1473,probability,412.9,413.44
1474,that,413.44,413.84000000000003
1475,a,413.84000000000003,414.1
1476,computer,414.1,414.38
1477,might,414.38,414.82
1478,mistake,414.82,415.22
1479,a,415.22,415.76
1480,voltage,415.76,416.22
1481,"level,",416.22,416.5
1482,like,416.74,416.74
1483,1,416.74,416.96
1484,.5,416.96,417.34000000000003
1485,in,417.34000000000003,417.48
1486,the,417.48,417.6
1487,"middle,",417.6,417.78
1488,is,417.94,418.0
1489,maybe,418.0,418.18
1490,being,418.18,418.42
1491,a,418.42,418.54
1492,little,418.54,418.84000000000003
1493,closer,418.84000000000003,419.06
1494,to,419.06,419.44
1495,off,419.44,419.94
1496,than,419.94,420.26
1497,on,420.26,420.72
1498,or,420.72,421.0
1499,to,421.0,421.32
1500,on,421.32,421.72
1501,than,421.72,421.98
1502,off.,421.98,422.34000000000003
1503,Here,422.6,422.6
1504,too,422.6,422.92
1505,is,422.92,423.1
1506,where,423.1,423.32
1507,even,423.32,423.54
1508,though,423.54,423.68
1509,there,423.68,423.84000000000003
1510,might,423.84000000000003,424.0
1511,be,424.0,424.2
1512,mathematical,424.2,424.72
1513,efficiencies,424.72,425.24
1514,in,425.24,425.48
1515,real,425.48,425.68
1516,world,425.68,426.0
1517,efficiencies,426.0,426.56
1518,to,426.56,426.82
1519,using,426.82,427.36
1520,"trynary,",427.36,427.9
1521,otherwise,427.96,428.15999999999997
1522,known,428.15999999999997,428.41999999999996
1523,as,428.41999999999996,428.76
1524,"ternary,",428.76,429.38
1525,like,429.41999999999996,429.6
1526,a,429.6,429.86
1527,"zero,",429.86,430.06
1528,a,430.24,430.3
1529,"one,",430.3,430.53999999999996
1530,and,430.6,430.7
1531,a,430.7,430.9
1532,two,430.9,431.12
1533,"digit,",431.12,431.5
1534,instead,431.76,431.9
1535,of,431.9,432.06
1536,just,432.06,432.26
1537,zeros,432.26,432.44
1538,and,432.44,432.62
1539,"ones,",432.62,432.82
1540,it,433.2,433.34000000000003
1541,turns,433.34000000000003,433.56
1542,out,433.56,433.72
1543,because,433.72,434.02
1544,our,434.02,434.28
1545,world,434.28,434.6
1546,runs,434.6,434.84000000000003
1547,on,434.84000000000003,435.06
1548,electricity,435.06,435.46000000000004
1549,"nowadays,",435.46000000000004,435.91999999999996
1550,and,436.02,436.1
1551,there's,436.1,436.26
1552,so,436.26,436.4
1553,much,436.4,436.58000000000004
1554,momentum,436.58000000000004,436.9
1555,behind,436.9,437.2
1556,binary,437.2,437.65999999999997
1557,that,437.65999999999997,438.26
1558,it,438.26,438.34000000000003
1559,just,438.34000000000003,438.62
1560,tends,438.62,438.88
1561,to,438.88,439.03999999999996
1562,be,439.03999999999996,439.4
1563,a,439.4,439.48
1564,net,439.48,439.64
1565,positive.,439.64,440.06
1566,Rachel,440.06,440.76
1567,P95,440.76,441.6
1568,"asks,",441.6,442.02
1569,why,442.4,442.4
1570,is,442.4,442.62
1571,everyone,442.62,443.03999999999996
1572,no,443.03999999999996,443.38
1573,solution?,443.38,443.94
1574,Have,444.32,444.32
1575,you,444.32,444.52
1576,tried,444.52,444.82
1577,restarting,444.82,445.53999999999996
1578,and,445.53999999999996,445.72
1579,why,445.72,445.9
1580,does,445.9,446.08000000000004
1581,that,446.08000000000004,446.34000000000003
1582,always,446.34000000000003,446.56
1583,work?,446.56,446.86
1584,So,447.14,447.2
1585,that's,447.2,447.46000000000004
1586,a,447.46000000000004,447.6
1587,very,447.6,447.84000000000003
1588,heavy,447.84000000000003,448.18
1589,handed,448.18,448.48
1590,solution,448.48,448.91999999999996
1591,to,448.91999999999996,449.12
1592,what,449.12,449.24
1593,are,449.24,449.44
1594,typically,449.44,449.68
1595,just,449.68,449.98
1596,"bugs,",450.0,450.38
1597,or,450.48,450.78
1598,mistakes,450.78,451.06
1599,and,451.06,451.5
1600,"software,",451.5,451.8
1601,for,451.88,452.04
1602,"instance,",452.04,452.38
1603,windows,452.56,452.8
1604,in,452.8,453.02
1605,this,453.02,453.24
1606,case.,453.24,453.54
1607,Restarting,453.88,454.22
1608,a,454.22,454.4
1609,computer,454.4,454.68
1610,just,454.68,455.0
1611,starts,455.0,455.32
1612,everything,455.32,455.76
1613,from,455.76,456.16
1614,scratch.,456.16,456.44
1615,So,456.52,456.64
1616,all,456.64,456.8
1617,of,456.8,456.94
1618,the,456.94,457.08
1619,"computers,",457.08,457.46
1620,short,457.7,457.94
1621,-term,457.94,458.06
1622,memory,458.06,458.42
1623,is,458.42,458.7
1624,"lost,",458.7,459.04
1625,and,459.04,459.24
1626,everything,459.24,459.58
1627,starts,459.58,459.92
1628,in,459.92,460.22
1629,pristine,460.22,460.56
1630,"condition,",460.56,460.96
1631,which,461.1,461.22
1632,is,461.22,461.4
1633,to,461.4,461.52
1634,say,461.52,461.68
1635,that,461.68,461.82
1636,it,461.82,462.02
1637,starts,462.02,462.28
1638,in,462.28,462.5
1639,exactly,462.5,462.86
1640,the,462.86,463.24
1641,way,463.24,463.24
1642,that,463.24,463.34
1643,the,463.34,463.56
1644,programmers,463.56,463.84
1645,at,463.84,464.18
1646,Microsoft,464.18,464.54
1647,intended.,464.54,465.04
1648,Without,465.76,465.76
1649,potentially,465.76,466.3
1650,the,466.3,466.58
1651,distractions,466.58,466.96
1652,of,466.96,467.22
1653,the,467.22,467.34
1654,computer,467.34,467.54
1655,being,467.54,467.82
1656,in,467.82,468.0
1657,some,468.0,468.32
1658,weird,468.32,468.6
1659,state,468.6,469.0
1660,or,469.0,469.16
1661,"condition,",469.16,469.48
1662,that,469.56,469.74
1663,the,469.74,469.9
1664,programmers,469.9,470.18
1665,just,470.18,470.6
1666,didn't,470.6,470.98
1667,anticipate.,470.98,471.34
1668,Maybe,471.5,471.66
1669,you,471.66,471.84
1670,clicked,471.84,472.02
1671,on,472.02,472.22
1672,some,472.22,472.44
1673,buttons,472.44,472.66
1674,in,472.66,472.88
1675,a,472.88,472.98
1676,weird,472.98,473.24
1677,"order,",473.24,473.48
1678,maybe,473.68,473.74
1679,you,473.74,473.94
1680,opened,473.94,474.14
1681,a,474.14,474.38
1682,strange,474.38,474.66
1683,"file,",474.66,475.04
1684,but,475.14,475.42
1685,you,475.42,475.58
1686,maybe,475.58,475.78
1687,you,475.78,475.96
1688,got,475.96,476.1
1689,the,476.1,476.3
1690,computer,476.3,476.58
1691,into,476.58,476.86
1692,a,476.86,477.02
1693,state,477.02,477.2
1694,that,477.2,477.44
1695,just,477.44,477.72
1696,wasn't,477.72,478.02
1697,programmed,478.02,478.48
1698,for,478.48,478.86
1699,properly.,478.86,479.22
1700,Jason,479.22,479.72
1701,Whitmer,479.72,480.12
1702,now,480.12,480.4
1703,"asks,",480.4,480.68
1704,what's,480.94,481.08
1705,the,481.08,481.22
1706,best,481.22,481.5
1707,operating,481.5,481.74
1708,system?,481.74,482.22
1709,"Well,",482.4,482.48
1710,this,482.65999999999997,482.7
1711,is,482.7,482.84000000000003
1712,one,482.84000000000003,482.96
1713,of,482.96,483.0
1714,these,483.0,483.15999999999997
1715,questions,483.15999999999997,483.5
1716,in,483.5,483.72
1717,computing,483.72,483.96
1718,we,483.96,484.18
1719,would,484.18,484.36
1720,call,484.36,484.58
1721,a,484.58,484.88
1722,religious,484.88,485.32
1723,"question,",485.32,485.9
1724,since,486.18,486.2
1725,it,486.2,486.36
1726,evokes,486.36,486.6
1727,a,486.6,486.82
1728,religious,486.82,487.24
1729,debate,487.24,487.62
1730,as,487.62,487.84000000000003
1731,to,487.84000000000003,488.0
1732,which,488.0,488.18
1733,might,488.18,488.36
1734,be,488.36,488.52
1735,best.,488.52,488.78
1736,Of,488.84000000000003,489.06
1737,"course,",489.06,489.06
1738,among,489.26,489.26
1739,the,489.26,489.38
1740,most,489.38,489.6
1741,popular,489.6,490.0
1742,operating,490.0,490.36
1743,systems,490.36,490.72
1744,out,490.72,491.02
1745,there,491.02,491.22
1746,are,491.22,491.65999999999997
1747,Windows,491.65999999999997,492.18
1748,and,492.18,492.52
1749,"macOS,",492.52,493.0
1750,but,493.26,493.38
1751,there's,493.38,493.56
1752,also,493.56,493.8
1753,one,493.8,493.94
1754,you,493.94,494.1
1755,might,494.1,494.32
1756,not,494.32,494.6
1757,have,494.6,494.8
1758,heard,494.8,494.96
1759,"of,",494.96,495.1
1760,which,495.26,495.28
1761,is,495.28,495.42
1762,called,495.42,495.64
1763,"Linux,",495.64,495.94
1764,which,496.0,496.14
1765,is,496.14,496.4
1766,actually,496.4,496.74
1767,very,496.74,497.15999999999997
1768,omnipresent,497.15999999999997,497.68
1769,in,497.68,498.12
1770,the,498.12,498.5
1771,enterprise,498.5,498.72
1772,world.,498.72,499.12
1773,So,499.2,499.3
1774,many,499.3,499.42
1775,of,499.42,499.54
1776,today's,499.54,500.08
1777,servers,500.08,500.08
1778,actually,500.08,500.6
1779,run,500.6,500.84000000000003
1780,Linux.,500.84000000000003,501.14
1781,So,501.32,501.5
1782,many,501.5,501.6
1783,of,501.6,501.72
1784,today's,501.72,502.22
1785,desktops,502.22,502.5
1786,are,502.5,502.72
1787,"laptops,",502.72,503.0
1788,"though,",503.32,503.42
1789,run,503.82,503.82
1790,Windows,503.82,504.32
1791,or,504.32,504.58
1792,macOS.,504.58,505.04
1793,"Now,",505.34000000000003,505.52
1794,that's,505.58,505.74
1795,not,505.74,505.9
1796,to,505.9,506.02
1797,say,506.02,506.18
1798,you,506.18,506.42
1799,couldn't,506.42,506.65999999999997
1800,run,506.65999999999997,506.92
1801,all,506.92,507.2
1802,of,507.2,507.3
1803,those,507.3,507.54
1804,operating,507.54,507.72
1805,systems,507.72,508.12
1806,in,508.12,508.32
1807,different,508.32,508.62
1808,"contexts,",508.62,508.98
1809,and,508.98,509.2
1810,some,509.2,509.42
1811,of,509.42,509.42
1812,us,509.42,509.58
1813,do,509.58,509.8
1814,actually,509.8,510.0
1815,run,510.0,510.22
1816,Linux,510.22,510.5
1817,on,510.5,510.74
1818,our,510.74,510.86
1819,own,510.86,510.98
1820,computers.,510.98,511.34000000000003
1821,So,511.76,511.92
1822,a,511.92,512.12
1823,lot,512.12,512.34
1824,of,512.34,512.52
1825,it,512.52,512.74
1826,is,512.74,513.0
1827,really,513.0,513.26
1828,boils,513.26,513.44
1829,down,513.44,513.7
1830,to,513.7,514.06
1831,personal,514.06,514.4
1832,preference.,514.4,514.84
1833,I,514.92,515.04
1834,wouldn't,515.04,515.24
1835,even,515.24,515.5
1836,say,515.5,515.7
1837,that,515.7,515.8199999999999
1838,there's,515.8199999999999,516.08
1839,one,516.08,516.34
1840,best,516.34,516.7
1841,operating,516.7,516.98
1842,"system,",516.98,517.44
1843,but,517.6800000000001,517.84
1844,there,517.84,518.04
1845,tend,518.04,518.22
1846,to,518.22,518.38
1847,be,518.38,518.62
1848,correlations,518.62,519.22
1849,between,519.22,519.6800000000001
1850,the,519.6800000000001,519.96
1851,operating,519.96,520.14
1852,systems,520.14,520.58
1853,people,520.58,520.88
1854,use,520.88,521.28
1855,and,521.28,521.42
1856,the,521.42,521.74
1857,applications,521.74,522.08
1858,they,522.08,522.44
1859,have,522.44,522.64
1860,in,522.64,522.8
1861,mind.,522.8,523.02
1862,So,523.1,523.3199999999999
1863,"Windows,",523.3199999999999,523.64
1864,for,523.76,523.8199999999999
1865,"instance,",523.8199999999999,524.08
1866,is,524.24,524.38
1867,so,524.38,524.54
1868,popular,524.54,524.86
1869,in,524.86,525.0
1870,the,525.0,525.12
1871,world,525.12,525.26
1872,of,525.26,525.54
1873,PCs,525.54,525.8
1874,and,525.8,526.08
1875,desktops,526.08,526.5
1876,and,526.5,526.7
1877,laptops.,526.7,527.06
1878,macOS,527.44,527.6
1879,is,527.6,528.02
1880,to,528.02,528.28
1881,some,528.28,528.46
1882,"extent,",528.46,528.88
1883,particularly,529.24,529.28
1884,in,529.28,529.58
1885,academia,529.58,529.96
1886,and,529.96,530.28
1887,certain,530.28,530.5
1888,"countries,",530.5,530.9
1889,but,530.94,531.1800000000001
1890,not,531.1800000000001,531.48
1891,necessarily,531.48,531.92
1892,on,531.92,532.1800000000001
1893,the,532.1800000000001,532.38
1894,same,532.38,532.58
1895,scale.,532.58,532.9
1896,Linux,533.38,533.38
1897,by,533.38,533.64
1898,contrast,533.64,533.88
1899,is,533.88,534.14
1900,again,534.14,534.44
1901,very,534.44,534.6800000000001
1902,much,534.6800000000001,534.94
1903,used,534.94,535.24
1904,heavily,535.24,535.64
1905,in,535.64,535.8199999999999
1906,the,535.8199999999999,536.14
1907,server,536.14,536.34
1908,side,536.34,536.64
1909,"industry,",536.64,536.98
1910,but,536.98,537.26
1911,so,537.26,537.54
1912,is,537.54,537.78
1913,Windows,537.78,538.12
1914,as,538.12,538.46
1915,well.,538.46,538.8199999999999
1916,So,539.06,539.1800000000001
1917,a,539.1800000000001,539.26
1918,lot,539.26,539.38
1919,of,539.38,539.5
1920,the,539.5,539.74
1921,choice,539.74,540.0
1922,for,540.0,540.28
1923,operating,540.28,540.44
1924,systems,540.44,540.94
1925,sometimes,540.94,541.44
1926,comes,541.44,541.8
1927,from,541.8,542.06
1928,just,542.06,542.3199999999999
1929,what's,542.3199999999999,542.58
1930,most,542.58,542.84
1931,"appropriate,",542.84,543.3
1932,what's,543.38,543.72
1933,most,543.72,543.96
1934,"popular,",543.96,544.36
1935,what's,544.36,544.76
1936,most,544.76,544.98
1937,"supportive,",544.98,545.38
1938,but,545.64,545.76
1939,some,545.76,545.94
1940,of,545.94,546.02
1941,it,546.02,546.16
1942,comes,546.16,546.4
1943,to,546.4,546.6
1944,from,546.6,546.78
1945,just,546.78,547.04
1946,personal,547.04,547.36
1947,preference,547.36,547.76
1948,of,547.76,547.98
1949,the,547.98,548.1800000000001
1950,"engineer,",548.1800000000001,548.4
1951,maybe,548.54,548.64
1952,the,548.64,548.86
1953,first,548.86,549.1800000000001
1954,engineer,549.1800000000001,549.4
1955,that,549.4,549.64
1956,you,549.64,549.8
1957,hire,549.8,550.02
1958,to,550.02,550.2
1959,make,550.2,550.48
1960,one,550.48,550.7
1961,of,550.7,550.78
1962,those,550.78,551.02
1963,decisions.,551.02,551.36
1964,So,551.46,551.62
1965,it's,551.62,551.8
1966,more,551.8,552.02
1967,about,552.02,552.24
1968,what's,552.24,552.44
1969,best,552.44,552.8199999999999
1970,for,552.8199999999999,553.16
1971,you,553.16,553.48
1972,and,553.48,553.66
1973,not,553.66,553.8199999999999
1974,so,553.8199999999999,553.94
1975,much,553.94,554.12
1976,best,554.12,554.64
1977,in,554.64,554.84
1978,general.,554.84,555.08
1979,"Next,",555.9,555.9
1980,Giulio,556.16,556.34
1981,Magnifico,556.34,556.92
1982,"asks,",556.92,557.34
1983,why,557.64,557.72
1984,aren't,557.72,557.96
1985,computers,557.96,558.24
1986,getting,558.24,558.6800000000001
1987,cheaper?,558.6800000000001,558.96
1988,"Well,",559.4,559.5
1989,computers,559.84,560.02
1990,or,560.02,560.3199999999999
1991,at,560.3199999999999,560.4
1992,least,560.4,560.74
1993,computer,560.74,561.14
1994,parts,561.14,561.92
1995,inside,561.92,562.3
1996,of,562.3,562.5
1997,computers,562.5,562.8
1998,do,562.8,563.3199999999999
1999,tend,563.3199999999999,563.64
2000,to,563.64,563.76
2001,get,563.76,564.0
2002,cheaper.,564.0,564.24
2003,The,564.24,564.56
2004,catch,564.56,564.86
2005,is,564.86,565.1800000000001
2006,that,565.1800000000001,565.48
2007,your,565.48,565.8199999999999
2008,expectations,565.8199999999999,566.3199999999999
2009,and,566.3199999999999,566.6
2010,my,566.6,566.96
2011,expectations,566.96,567.44
2012,just,567.44,567.86
2013,keep,567.86,568.08
2014,rising.,568.08,568.42
2015,We,568.6800000000001,568.6800000000001
2016,want,568.6800000000001,568.9
2017,our,568.9,569.1
2018,"phones,",569.1,569.4
2019,our,569.6,569.76
2020,"laptops,",569.76,570.02
2021,our,570.1800000000001,570.24
2022,desktops,570.24,570.6
2023,to,570.6,570.78
2024,do,570.78,570.96
2025,more,570.96,571.26
2026,and,571.26,571.38
2027,more,571.38,571.6
2028,in,571.6,571.78
2029,the,571.78,571.92
2030,way,571.92,572.1
2031,of,572.1,572.24
2032,the,572.24,572.46
